,BATTER,NAME,YEAR,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP,TEAM
776,48486,Cliff Pennington,2010,875,2796,2492,596,212.0,19.0,283,32,832,234,226.0,8.0,12.0,1,0,3,217,55,539,8,0,0,8,1,73.0,22.0,pennicl01,48486,9.136169999999998,ARI
777,48867,Angel Sanchez,2010,177,602,543,139,53.0,2.0,65,1,169,38,37.0,1.0,3.0,0,0,0,28,10,104,0,0,0,0,0,3.0,1.0,sanchan02,48867,0.005852219999999898,HOU
778,49341,Yunel Escobar,2000,371,1546,1361,410,164.0,6.0,214,29,580,143,135.0,8.0,20.0,0,0,0,21,22,318,0,0,0,0,0,12.0,12.0,escobyu01,49341,10.46741,ATL
779,49341,Yunel Escobar,2010,1063,4411,3954,1091,355.0,21.0,475,61,1473,366,358.0,8.0,35.0,0,0,0,0,350,698,1,0,0,1,7,22.0,20.0,escobyu01,49341,12.636852000000001,TOR
780,49622,Pedro Florimon,2010,321,867,788,166,73.0,3.0,96,12,251,63,62.0,1.0,2.0,2,0,0,16,2,257,1,9,6,16,0,26.0,10.0,floripe01,49622,1.6834244999999999,MIN
781,49628,Everth Cabrera,2010,407,1630,1452,354,101.0,7.0,169,10,463,129,124.0,5.0,9.0,0,0,0,14,1,386,0,0,0,0,0,113.0,30.0,cabreev01,49628,2.8562360300000007,SDP
782,50609,Marwin Gonzalez,2010,909,3169,2891,762,347.0,7.0,355,91,1209,210,200.0,10.0,27.0,0,0,212,112,133,292,175,3,48,226,9,38.0,26.0,gonzama01,50609,7.969409,HOU
783,50677,Ehire Adrianza,2010,421,1119,990,246,111.0,13.0,133,16,364,83,78.0,5.0,15.0,1,0,35,73,72,163,23,0,6,29,1,17.0,8.0,adriaeh01,50677,2.2881454,SFG
784,51421,Alexei Ramirez,2000,284,1115,1022,289,145.0,12.0,136,36,439,67,61.0,6.0,4.0,0,0,0,121,1,164,0,11,0,11,1,27.0,14.0,ramiral03,51421,3.2188600000000003,CHW
785,51421,Alexei Ramirez,2010,1087,4390,4112,1098,445.0,30.0,465,79,1576,196,184.0,12.0,26.0,1,0,0,1,0,1064,0,0,3,3,3,116.0,49.0,ramiral03,51421,17.446196999999998,CHW
