,PITCHER,NAME,YEAR,Unnamed: 0,W,L,SV,IP,R,ER,PA,AB,H,HR,TB,BB,UBB,IBB,HBP,SO,PLAYERID,BASEBALLREFERENCECODE,WARP,TEAM
1197,30024,Bill Travers,1980,9866,12,10,0,206.6664,119,104,897,808.0,219,26,354.0,70,67,3,8.0,91,30024,travebi01,-1.0307308000000002,CAL
1198,30051,Rich Troedson,1970,9873,8,10,2,170.9997,95,90,751,667.0,191,18,271.0,67,58,9,2.0,92,30051,troedri01,-0.47706350000000003,SDP
1199,30060,Steve Trout,1970,9882,14,8,4,177.3333,87,77,774,686.0,184,10,247.0,70,65,5,5.0,87,30060,troutst01,0.373528,CHW
1200,30060,Steve Trout,1980,9883,74,84,0,1324.0003,704,620,5776,5136.0,1481,80,2016.0,508,465,43,28.0,569,30060,troutst01,-9.831707000000002,CHC
1201,30077,John Tudor,1980,9898,104,66,1,1622.6663,629,564,6665,6102.0,1518,144,2294.0,436,409,27,27.0,914,30077,tudorjo01,19.4210918,BOS
1202,30077,John Tudor,1990,9899,12,4,0,146.333,48,39,575,534.0,120,10,177.0,30,26,4,2.0,63,30077,tudorjo01,1.74305,STL
1203,30112,Lefty Tyler,1910,9922,113,102,7,1986.9983,842,641,8203,0.0,1738,43,0.0,758,758,0,64.0,938,30112,tylerle01,18.8,BSN
1204,30112,Lefty Tyler,1920,9923,14,14,0,243.0,105,89,1019,0.0,252,8,0.0,71,71,0,3.0,65,30112,tylerle01,3.2,CHC
1205,30136,Jim Umbarger,1970,9937,25,33,3,482.9997,255,222,2101,1857.0,534,37,745.0,181,162,19,10.0,244,30136,umbarji01,-1.303293,TEX
1206,30141,Pat Underwood,1970,9942,6,4,0,121.667,64,62,508,469.0,126,17,215.0,29,28,1,2.0,83,30141,underpa01,1.5625,DET
1207,30141,Pat Underwood,1980,9943,7,14,8,222.0003,127,107,953,877.0,240,30,380.0,63,54,9,2.0,105,30141,underpa01,-0.6089376,DET
