,BATTER,NAME,YEAR,YEAR.1,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP
394,28593,Bill Schroeder,1980,13902,358,1297,1204,290,143.0,5.0,146,57,509,57,54.0,3.0,16,0,294,43,0,0,0,0,0,0,0,20,6,5.0,schrobi01,28593,2.3000000000000007
395,28704,Andy Seminick,1940,13622,593,2083,1791,433,249.0,0.0,240,70,737,255,0.0,0.0,19,0,550,0,0,4,0,9,0,0,9,0,15,0.0,seminan01,28704,10.200000000000001
396,28704,Andy Seminick,1950,15628,711,2488,2130,520,307.0,1.0,255,94,899,327,55.0,9.0,21,0,663,0,0,0,0,0,0,0,0,0,8,7.0,seminan01,28704,12.800000000000002
397,28719,Hank Severeid,1910,15321,581,1825,1657,423,183.0,0.0,119,2,514,121,0.0,0.0,13,0,481,9,0,1,0,6,1,0,7,0,17,1.0,severha01,28719,2.5
398,28719,Hank Severeid,1920,13461,809,2962,2655,822,355.0,0.0,289,15,1070,210,0.0,0.0,6,0,744,0,0,0,0,0,0,0,0,0,18,18.0,severha01,28719,16.099999999999998
399,28726,Luke Sewell,1920,17325,691,2494,2208,572,239.0,0.0,259,4,735,172,0.0,0.0,18,0,665,0,0,0,0,2,0,0,2,0,31,24.0,sewellu01,28726,2.3000000000000003
400,28726,Luke Sewell,1930,19345,933,3534,3163,820,459.0,0.0,393,16,1101,313,0.0,0.0,9,0,891,7,1,1,0,2,0,5,7,0,35,20.0,sewellu01,28726,4.0
401,28927,Ted Simmons,1970,19745,1412,5868,5213,1550,828.0,60.0,652,151,2370,563,425.0,138.0,25,0,1304,65,0,2,0,32,0,3,35,0,10,28.0,simmote01,28927,39.800000000000004
402,28927,Ted Simmons,1980,17856,1037,3797,3450,918,558.0,39.0,422,97,1417,290,240.0,50.0,14,0,461,130,0,27,0,5,0,0,5,279,11,5.0,simmote01,28927,10.6
403,28929,Mike Simon,1910,11475,367,1134,1051,238,88.0,0.0,83,1,289,53,0.0,0.0,9,0,337,0,0,0,0,0,0,0,0,0,9,2.0,simonmi01,28929,-0.6
404,28939,Duke Sims,1960,11799,426,1425,1216,278,160.0,3.0,134,53,484,184,163.0,21.0,21,0,360,32,0,0,0,4,0,3,7,0,5,9.0,simsdu01,28939,7.6000000000000005
405,28939,Duke Sims,1970,9860,417,1385,1206,302,150.0,6.0,129,47,488,154,141.0,13.0,14,0,286,29,0,0,0,31,0,16,47,7,1,7.0,simsdu01,28939,5.199999999999999
406,29050,Earl Smith,1920,19245,831,2516,2218,677,347.0,0.0,220,46,964,241,0.0,0.0,11,0,700,0,0,0,0,0,0,0,0,0,17,9.0,smithea02,29050,11.899999999999999
407,29071,Hal Smith,1950,9785,563,1930,1762,493,212.0,22.0,181,32,708,123,116.0,7.0,9,0,389,14,0,120,0,0,0,0,0,0,5,9.0,smithha08,29071,2.8000000000000003
408,29072,Hal Smith,1950,7830,394,1308,1232,329,134.0,4.0,100,21,449,62,46.0,16.0,1,0,375,0,0,0,0,0,0,0,0,0,5,8.0,smithha09,29072,1.8000000000000003
409,29156,Frank Snyder,1910,15324,630,2083,1915,478,189.0,0.0,123,4,607,118,0.0,0.0,6,0,530,50,1,0,1,0,0,0,0,0,23,6.0,snydefr01,29156,8.299999999999999
410,29156,Frank Snyder,1920,15388,762,2536,2314,644,336.0,0.0,208,43,914,163,0.0,0.0,5,0,717,0,0,0,0,0,0,0,0,0,14,14.0,snydefr01,29156,9.1
411,29229,Roy Spencer,1930,15471,506,1693,1535,381,175.0,0.0,144,2,457,115,0.0,0.0,9,0,487,0,0,0,0,0,0,0,0,0,3,1.0,spencro01,29229,0.19999999999999998
412,29248,Al Spohrer,1930,11595,589,1869,1750,455,142.0,0.0,156,4,580,93,0.0,0.0,4,0,572,0,0,0,0,0,0,0,0,0,11,0.0,spohral01,29248,0.09999999999999995
413,29291,Oscar Stanage,1910,19145,937,3309,3007,697,283.0,0.0,219,8,875,194,0.0,0.0,22,0,916,6,0,0,1,0,0,0,0,0,28,6.0,stanaos01,29291,4.0
414,29336,John Stearns,1970,11859,529,2001,1720,425,214.0,18.0,213,41,647,232,212.0,20.0,22,0,474,22,0,12,0,6,0,0,6,0,54,39.0,stearjo01,29336,11.8
415,29424,Bob Stinson,1970,19745,600,1775,1519,382,170.0,14.0,159,32,551,192,176.0,16.0,22,0,536,1,1,1,0,3,0,4,7,3,8,9.0,stinsbo01,29424,5.0
416,29550,Joe Sugden,1900,9515,390,1377,1208,282,109.0,0.0,110,0,322,109,0.0,0.0,15,1,324,54,0,0,0,0,0,0,0,0,19,0.0,sugdejo01,29550,5.7
417,29561,Billy Sullivan,1900,19045,948,3359,3084,657,314.0,0.0,308,19,872,137,0.0,0.0,25,0,923,4,2,2,1,1,0,1,2,0,95,0.0,sullibi03,29561,7.7
418,29562,Billy Sullivan,1930,15481,718,2429,2230,645,296.0,0.0,270,22,881,156,0.0,0.0,9,0,241,133,6,121,0,33,0,33,66,0,26,21.0,sullibi04,29562,4.7
419,29602,Jim Sundberg,1970,11859,875,3171,2754,699,293.0,18.0,288,29,934,318,307.0,11.0,14,0,874,0,0,0,0,0,0,0,0,1,12,16.0,sundbji01,29602,22.2
420,29602,Jim Sundberg,1980,19845,1087,3727,3267,794,331.0,20.0,333,66,1159,381,361.0,20.0,8,0,1053,0,0,0,0,3,0,0,3,1,8,21.0,sundbji01,29602,18.3
421,29664,Bob Swift,1940,19445,860,2788,2453,576,219.0,0.0,187,12,698,278,0.0,0.0,2,0,841,0,0,0,0,0,0,0,0,0,10,6.0,swiftbo01,29664,-1.0999999999999999
422,29669,Steve Swisher,1970,11859,449,1458,1304,285,119.0,15.0,102,18,400,110,94.0,16.0,11,0,437,0,0,0,0,0,0,0,0,0,4,4.0,swishst01,29669,-1.5
423,29717,Eddie Taubensee,1990,17955,842,2759,2492,684,384.0,29.0,306,85,1092,224,197.0,27.0,6,0,757,10,0,0,0,6,0,5,11,3,11,10.0,taubeed01,29717,7.0
424,29768,Zack Taylor,1920,19245,811,2884,2664,711,292.0,0.0,242,8,896,154,0.0,0.0,14,0,768,0,0,0,0,0,0,0,0,0,9,7.0,tayloza02,29768,4.6
