,BATTER,NAME,YEAR,YEAR.1,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP
441,50147,Danny Valencia,2010,18126,864,3222,2963,795,397.0,33.0,360,96,1261,217,209.0,8.0,8,1,0,163,9,507,0,33,0,71,104,73,11,16.0,valenda01,50147,5.6
442,51110,David Freese,2010,20145,1167,4195,3727,1031,528.0,23.0,478,112,1576,368,357.0,11.0,73,0,0,146,2,909,0,0,0,0,0,25,8,11.0,freesda01,51110,17.299999999999997
443,51557,Yangervis Solarte,2010,12099,670,2645,2407,620,307.0,19.0,282,75,981,189,181.0,8.0,23,0,0,42,178,405,47,16,0,0,16,10,6,5.0,solarya01,51557,6.3
444,51653,Eduardo Escobar,2010,18135,928,3449,3156,819,426.0,31.0,404,106,1377,230,213.0,17.0,19,1,1,0,92,455,328,43,1,1,45,32,19,15.0,escobed01,51653,11.8
445,51991,Justin Turner,2010,20145,1060,3805,3353,980,469.0,31.0,476,120,1581,329,314.0,15.0,87,0,0,39,130,715,46,1,0,0,1,15,34,10.0,turneju01,51991,27.599999999999998
446,52054,Alex Gordon,2000,6024,334,1360,1200,300,141.0,8.0,160,37,498,128,119.0,9.0,21,0,0,32,0,319,1,0,0,0,0,1,28,6.0,gordoal01,52054,5.1
447,52240,Chris Johnson,2010,14091,828,2972,2789,771,338.0,17.0,255,63,1134,143,127.0,16.0,19,0,0,130,0,631,0,2,0,1,3,15,18,4.0,johnsch05,52240,-0.19999999999999973
448,52448,Evan Longoria,2000,4017,279,1179,1032,286,198.0,15.0,167,60,545,118,103.0,15.0,14,0,0,0,0,270,1,0,0,0,0,4,16,0.0,longoev01,52448,11.8
449,52448,Evan Longoria,2010,20145,1410,5992,5351,1417,817.0,71.0,723,237,2481,516,450.0,66.0,53,0,0,0,0,1317,0,0,0,0,0,83,41,17.0,longoev01,52448,42.4
450,53395,Todd Frazier,2010,18135,1186,4737,4200,1019,624.0,38.0,585,214,1891,424,412.0,12.0,71,0,0,97,2,1037,2,13,0,1,14,19,72,37.0,frazito01,53395,26.0
451,56185,Josh Donaldson,2010,18134,1038,4476,3841,1048,645.0,29.0,652,219,1955,557,539.0,18.0,44,0,10,5,0,953,5,0,0,0,0,60,38,8.0,donaljo02,56185,44.800000000000004
452,57478,Mike Moustakas,2010,18135,1131,4537,4134,1041,561.0,34.0,488,182,1825,316,292.0,24.0,45,0,0,4,47,1042,0,0,0,0,0,35,18,10.0,moustmi01,57478,17.200000000000003
453,57705,Matt Dominguez,2010,10066,362,1369,1272,294,152.0,14.0,123,42,472,66,62.0,4.0,13,0,0,1,0,352,0,0,0,0,0,5,0,2.0,dominma01,57705,0.7000000000000003
454,57748,Conor Gillaspie,2010,14098,505,1544,1419,356,158.0,13.0,146,33,556,105,92.0,13.0,7,0,0,25,1,383,0,0,0,0,0,3,1,8.0,gillaco01,57748,1.0
455,58147,Lonnie Chisenhall,2010,16116,688,2360,2159,578,296.0,14.0,261,64,922,150,138.0,12.0,21,0,0,21,0,341,0,12,21,242,275,38,20,5.0,chiselo01,58147,8.999999999999998
456,58259,Will Middlebrooks,2010,12087,347,1234,1150,262,155.0,10.0,119,43,450,64,60.0,4.0,9,0,0,5,2,322,8,0,0,0,0,1,10,4.0,middlwi01,58259,-1.5
